Strategy,Final_Value,Total_Return_%,Max_Gain_%,Max_Loss_%,Max_Drawdown_%,Volatility_%
Benchmark (2800.HK),20393.154980209627,1.9657749010481347,2.219663898340568,-0.23335408034934518,-1.4141465942727676,0.9689301161931939
0005.HK (Aggressive),20169.100311279297,0.8455015563964843,0.9080015563964844,-0.05549985885620118,-0.5411402331271721,0.40274257917540035
0288.HK (Aggressive),20141.070064783096,0.7053503239154816,1.021050490140915,-0.422599765062314,-0.6774334552037149,0.553177538941452
0005.HK (Conservative),20018.65001296997,0.09325006484985351,0.09575006484985352,0.0,-0.01724319772051262,0.027314204609058895
2318.HK (Conservative),20000.09995651245,0.0004997825622558593,0.07324989318847656,-0.03400020599365234,-0.10717159610245547,0.07733857244683078
0002.HK (Conservative),19996.49998474121,-0.017500076293945312,0.0059999084472656256,-0.027000045776367186,-0.03299797437538084,0.023240598142595943
0288.HK (Conservative),19980.139988422394,-0.099300057888031,0.0,-0.20705008745193482,-0.20705008745193482,0.09162932410124193
3690.HK (Conservative),19926.09999847412,-0.36950000762939456,0.0,-0.36950000762939456,-0.36950000762939456,0.06879589181470358
0002.HK (Aggressive),19862.249855041504,-0.6887507247924805,0.16675004959106446,-0.7750004577636719,-0.9401827521492807,0.2625692688894535
3690.HK (Aggressive),19843.00005340576,-0.7849997329711913,0.37349990844726566,-0.933499641418457,-1.3021360728258593,0.6982405079940597
2318.HK (Aggressive),19831.999835968018,-0.8400008201599122,0.07350009918212891,-1.3975008773803528,-1.4699205834757285,0.6468604010530912
